,ServiceTag,UUID,SerialNumber,HostName,Model,Manufacturer,ProcessorModel,ProcessorCount,LogicalProcessorCount,TotalSystemMemoryGiB,NIC_1_PermanentMACAddress,NIC_2_PermanentMACAddress,Bmc_Ip_Addr,BmcModel,BmcFirmwareVersion,Status
412,,4c4c4544-0036-4210-8054-b8c04f514432,CN747516560223,cpu-9-26,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:B9:3B:26,7C:D3:0A:B9:3B:28,10.101.9.26,13G DCS,2.75.75.75,OK
413,,4c4c4544-0036-4210-8053-b8c04f514432,CN7475164L0170,cpu-9-27,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:B7:A9:2C,7C:D3:0A:B7:A9:2E,10.101.9.27,13G DCS,2.75.75.75,OK
414,,4c4c4544-004d-3510-8051-b7c04f514432,CN7475165K0027,cpu-9-28,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:60:34,7C:D3:0A:BA:60:36,10.101.9.28,13G DCS,2.75.75.75,OK
415,,4c4c4544-004e-3810-8051-b7c04f514432,CN7475165K0248,cpu-9-29,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:5A:28,7C:D3:0A:BA:5A:2A,10.101.9.29,13G DCS,2.75.75.75,OK
416,,4c4c4544-0036-4310-804e-b8c04f514432,CN7475164Q0680,cpu-9-30,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:B8:0B:FA,7C:D3:0A:B8:0B:FC,10.101.9.30,13G DCS,2.75.75.75,Critical
417,,4c4c4544-004d-3410-8052-b7c04f514432,CN7475165J0088,cpu-9-31,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:68:C2,7C:D3:0A:BA:68:C4,10.101.9.31,13G DCS,2.75.75.75,OK
418,,4c4c4544-004d-3410-8056-b7c04f514432,CN7475165N0019,cpu-9-32,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:6F:E8,7C:D3:0A:BA:6F:EA,10.101.9.32,13G DCS,2.75.75.75,OK
419,,4c4c4544-004e-3910-8054-b7c04f514432,CN747516550600,cpu-9-33,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:B8:51:F0,7C:D3:0A:B8:51:F2,10.101.9.33,13G DCS,2.75.75.75,OK
420,,4c4c4544-004e-3910-8053-b7c04f514432,CN747516680539,cpu-9-34,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BB:DD:7E,7C:D3:0A:BB:DD:80,10.101.9.34,13G DCS,2.75.75.75,OK
421,,4c4c4544-004e-4210-804e-b7c04f514432,CN747516670835,cpu-9-35,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BB:CB:0C,7C:D3:0A:BB:CB:0E,10.101.9.35,13G DCS,2.75.75.75,OK
422,,4c4c4544-004e-3910-8056-b7c04f514432,CN747516560079,cpu-9-36,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:B9:38:3E,7C:D3:0A:B9:38:40,10.101.9.36,13G DCS,2.75.75.75,OK
423,,4c4c4544-004d-5110-8050-b7c04f514432,CN7475165K0358,cpu-9-37,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:59:E6,7C:D3:0A:BA:59:E8,10.101.9.37,13G DCS,2.75.75.75,OK
424,,4c4c4544-004d-5110-8052-b7c04f514432,CN7475165K0175,cpu-9-38,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:66:1C,7C:D3:0A:BA:66:1E,10.101.9.38,13G DCS,2.75.75.75,OK
