Partition|NodeList|Group|User|JobName|JobID|Submit|Start|End|ExitCode|CPUTimeRAW|TRESUsageInTot|TRESUsageOutTot|MaxVMSize|AllocCPUS|NTasks|Cluster|TimelimitRaw|ReqMem|
|gpu-20-3|||run.sh|8242.0|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:44|0:15|158457|cpu=1-19:49:17,energy=0,fs/disk=16231903,mem=7020140K,pages=85734,vmem=146436K|energy=0,fs/disk=43011|146436K|1|1|redraider||9639Mc|
matador|gpu-20-4|chem|rliang|job23|8243|2020-10-31T11:11:46|2020-10-31T11:11:47|2020-11-02T06:12:11|0:0|158424||||1||redraider|2640|9639Mc|
|gpu-20-4|||batch|8243.batch|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:12|0:15|158425|cpu=00:00:00,energy=0,fs/disk=107754,mem=4564K,pages=0,vmem=143536K|energy=0,fs/disk=227|143536K|1|1|redraider||9639Mc|
|gpu-20-4|||extern|8243.extern|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:11|0:0|158424|cpu=00:00:00,energy=0,fs/disk=2188,mem=0,pages=0,vmem=4352K|energy=0,fs/disk=0|4352K|1|1|redraider||9639Mc|
|gpu-20-4|||run.sh|8243.0|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:44|0:15|158457|cpu=1-19:47:56,energy=0,fs/disk=16231903,mem=6933168K,pages=77484,vmem=146436K|energy=0,fs/disk=43012|146436K|1|1|redraider||9639Mc|
matador|gpu-20-5|chem|rliang|job24|8244|2020-10-31T11:11:46|2020-10-31T11:11:47|2020-11-02T06:12:11|0:0|158424||||1||redraider|2640|9639Mc|
|gpu-20-5|||batch|8244.batch|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:12|0:15|158425|cpu=00:00:00,energy=0,fs/disk=107754,mem=4588K,pages=0,vmem=143536K|energy=0,fs/disk=227|143536K|1|1|redraider||9639Mc|
|gpu-20-5|||extern|8244.extern|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:11|0:0|158424|cpu=00:00:00,energy=0,fs/disk=2188,mem=0,pages=0,vmem=4352K|energy=0,fs/disk=0|4352K|1|1|redraider||9639Mc|
|gpu-20-5|||run.sh|8244.0|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:44|0:15|158457|cpu=1-19:49:04,energy=0,fs/disk=16231903,mem=7195432K,pages=83721,vmem=146436K|energy=0,fs/disk=43012|146436K|1|1|redraider||9639Mc|
matador|gpu-20-6|chem|rliang|job25|8245|2020-10-31T11:11:46|2020-10-31T11:11:47|2020-11-02T06:12:11|0:0|158424||||1||redraider|2640|9639Mc|
